,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,banff,51.1762,-115.5698,292.36,32,8,"{'speed': 1.03, 'deg': 60}",CA,1695413857
182,egilsstadir,65.2653,-14.3948,274.1,86,75,"{'speed': 1.54, 'deg': 110}",IS,1695413588
183,montevideo,-34.8335,-56.1674,286.99,71,0,"{'speed': 6.17, 'deg': 130}",UY,1695413617
184,vila franca do campo,37.7167,-25.4333,296.97,99,100,"{'speed': 1.71, 'deg': 99, 'gust': 2.16}",PT,1695413522
185,farafangana,-22.8167,47.8333,294.91,87,28,"{'speed': 3.1, 'deg': 24, 'gust': 5.09}",MG,1695413858
186,uturoa,-16.7333,-151.4333,297.81,87,100,"{'speed': 3.85, 'deg': 122, 'gust': 4.09}",PF,1695413507
187,ibiza,38.9088,1.433,295.82,67,0,"{'speed': 2.06, 'deg': 350}",ES,1695413687
188,adelaide,-34.9333,138.6,286.54,53,0,"{'speed': 3.6, 'deg': 40}",AU,1695413702
189,revda,56.801,59.9303,280.13,96,100,"{'speed': 1.59, 'deg': 302, 'gust': 2.71}",RU,1695413574
190,jinzhou,41.1078,121.1417,285.4,69,92,"{'speed': 2.5, 'deg': 352, 'gust': 2.69}",CN,1695413858
191,bikenibeu village,1.3673,173.1241,301.13,83,40,"{'speed': 0.51, 'deg': 0}",KI,1695413587
192,taybad,34.74,60.7756,289.59,32,0,"{'speed': 8.94, 'deg': 8, 'gust': 14.84}",IR,1695413675
193,el granada,37.5027,-122.4694,298.49,64,0,"{'speed': 3.09, 'deg': 0}",US,1695413859
194,pisco,-13.7,-76.2167,295.18,68,0,"{'speed': 5.66, 'deg': 250}",PE,1695413352
195,nemuro,43.3236,145.575,289.35,85,0,"{'speed': 2.83, 'deg': 356, 'gust': 2.94}",JP,1695413512
196,fortaleza,-3.7227,-38.5247,301.22,69,0,"{'speed': 5.66, 'deg': 90}",BR,1695413859
197,buba,11.5833,-15.0,296.31,96,100,"{'speed': 2, 'deg': 149, 'gust': 4.97}",GW,1695413860
198,adelia maria,-33.6315,-64.021,295.73,60,91,"{'speed': 6.71, 'deg': 68, 'gust': 9.39}",AR,1695413860
199,undurkhaan,47.3194,110.6556,283.52,44,100,"{'speed': 2.21, 'deg': 147, 'gust': 3.24}",MN,1695413860
200,nova sintra,14.8667,-24.7167,298.31,80,82,"{'speed': 1.65, 'deg': 124, 'gust': 3.17}",CV,1695413553
201,sitka,57.0531,-135.33,284.09,82,100,"{'speed': 4.12, 'deg': 120}",US,1695413497
202,santana,-0.0583,-51.1817,299.25,83,75,"{'speed': 2.57, 'deg': 120}",BR,1695413529
203,west island,-12.1568,96.8225,298.14,78,75,"{'speed': 4.63, 'deg': 110}",CC,1695413495
204,manokwari,-0.8667,134.0833,298.41,83,99,"{'speed': 1.66, 'deg': 277, 'gust': 2.01}",ID,1695413861
205,chissamba,-12.1667,17.3333,296.38,38,99,"{'speed': 1.38, 'deg': 323, 'gust': 2.93}",AO,1695413861
206,aldinga beach,-35.2793,138.4604,286.73,62,96,"{'speed': 3.51, 'deg': 93, 'gust': 4.96}",AU,1695413861
207,coquimbo,-29.9533,-71.3436,292.0,63,0,"{'speed': 6.69, 'deg': 280}",CL,1695413596
208,south hedland,-20.4089,118.5983,297.11,38,6,"{'speed': 4.12, 'deg': 230}",AU,1695413862
209,mata-utu,-13.2816,-176.1745,300.05,81,88,"{'speed': 12.26, 'deg': 108, 'gust': 13.97}",WF,1695413862
210,essaouira,31.5125,-9.77,295.87,68,98,"{'speed': 4.12, 'deg': 10}",MA,1695413862
211,mentone,43.7765,7.5044,294.86,51,0,"{'speed': 5.01, 'deg': 274, 'gust': 5.79}",FR,1695413862
212,xilin hot,43.9667,116.0333,282.55,45,87,"{'speed': 2.37, 'deg': 133, 'gust': 2.42}",CN,1695413862
213,selfoss,63.9331,-20.9971,278.73,65,100,"{'speed': 2.66, 'deg': 56, 'gust': 4.6}",IS,1695413605
214,necochea,-38.5473,-58.7368,281.65,64,100,"{'speed': 4.97, 'deg': 85, 'gust': 5.41}",AR,1695413863
215,palmer,42.1584,-72.3287,295.49,54,75,"{'speed': 2.24, 'deg': 114, 'gust': 4.02}",US,1695413575
216,alnashi,56.1874,52.4792,288.16,75,98,"{'speed': 1.63, 'deg': 316, 'gust': 1.65}",RU,1695413863
217,tyazhinskiy,56.116,88.524,285.25,62,100,"{'speed': 6.52, 'deg': 214, 'gust': 15.27}",RU,1695413863
218,chui,-33.6971,-53.4616,287.37,86,100,"{'speed': 4.59, 'deg': 158, 'gust': 7.91}",UY,1695413864
219,flying fish cove,-10.4217,105.6791,296.97,83,100,"{'speed': 3.6, 'deg': 100}",CX,1695413537
220,pitkyaranta,61.5734,31.4792,288.5,78,98,"{'speed': 6.85, 'deg': 173, 'gust': 16}",RU,1695413864
221,marsa alam,25.0757,34.8918,302.86,57,0,"{'speed': 3.81, 'deg': 323, 'gust': 4.55}",EG,1695413864
222,east london,-33.0153,27.9116,292.41,68,82,"{'speed': 3.6, 'deg': 35, 'gust': 5.28}",ZA,1695413500
223,leominster,42.5251,-71.7598,294.06,64,100,"{'speed': 3.6, 'deg': 120}",US,1695413744
224,bima,-8.4667,118.7167,295.13,92,47,"{'speed': 1.74, 'deg': 163, 'gust': 1.81}",ID,1695413865
225,arauca,7.0847,-70.7591,298.13,94,40,"{'speed': 1.54, 'deg': 280}",CO,1695413865
